11.5,96.5
143.25,99.25
68.75,108.25
90.75,122.75
215.75,148.75
236.5,160
126,152
116.25,165.75
164,165.75
206,164
170,174.75
161.75,183.5
203.75,189.75
275,197.5
254.5,196.25
232.75,199
240.75,211.25
267.5,207.75
190.25,214
276.25,213
206,218.75
221.75,218
197.75,217
243.5,221
181.5,228.75
233.5,231
209,234.25
253.5,242.25
267,240
183.75,243.5
233,241.75
223.75,247.75
213,252
273,253
262.25,255.75
248,259
212.25,264
227.25,259.5
263,265.5
251,267.75
265.25,273.75
228.5,280.5
281.75,289
189.5,289.25
242.25,287
218.75,298.25
236,299
269.25,301.25
250.5,305
241.25,310.5
233.75,314.25
253.5,317.25
206.5,330.75
239.75,342
186.5,349.5
226.75,353.25
274.25,355
224.5,364.5
189.25,370.75
239,385.5
244.5,397.5
67.25,87
153.75,133
180.75,141.5
242.5,164
180.75,177.25
174.25,189.5
219.75,198
200.75,238.5
191.5,263.5
234,274.5
226.5,331
274.5,342
220,341.75
214,384.5
